book_id,price,ori_price,img1,name
28518072,53.90,55.00,http://img3m2.ddimg.cn/33/26/28518072-1_l_8.jpg,被讨厌的勇气：“自我启发之父”阿德勒的哲学课 岸见一郎
29389443,44.10,45.00,http://img3m3.ddimg.cn/6/10/29389443-1_l_9.jpg,极简学习法（考试高分的秘密，上百位清北学霸学习方法大公开）
29302272,48.10,59.80,http://img3m2.ddimg.cn/54/11/29302272-1_l_10.jpg,非暴力沟通（修订版）
29233018,57.80,59.00,http://img3m8.ddimg.cn/1/21/29233018-1_l_19.jpg,刻意练习：如何从新手到大师
27931206,48.90,49.90,http://img3m6.ddimg.cn/39/17/27931206-1_l_580.jpg,人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、
28979183,43.40,79.00,http://img3m3.ddimg.cn/2/6/28979183-1_l_30.jpg,高效能人士的七个习惯（30周年纪念版）（全新增订版）（新增《纽
25201859,31.40,32.00,http://img3m9.ddimg.cn/23/12/25201859-1_l_29.jpg,钝感力（渡边淳一经典励志大作！央视新闻、《奇葩说》鼎力推荐，
23394853,28.60,32.80,http://img3m3.ddimg.cn/64/12/23394853-1_l_37.jpg,人生没什么不可放下：弘一法师的人生智慧（弘一法师彻悟一生的人
29119834,55.00,59.80,http://img3m4.ddimg.cn/73/20/29119834-1_l_12.jpg,认知觉醒：开启自我改变的原动力
29389876,29.40,69.00,http://img3m6.ddimg.cn/43/36/29389876-1_l_15.jpg,阅读的方法（罗胖罗振宇的新书来了！这本书里有让你爱上阅读的方
26490676,40.50,45.00,http://img3m6.ddimg.cn/58/8/26490676-1_l_7.jpg,亲密关系：通往灵魂的桥梁（新版）：杨天真推荐，这本书告诉我们
29272806,45.90,49.00,http://img3m6.ddimg.cn/90/34/29272806-1_l_48.jpg,这世界很好，但你也不差（打破满意度低幸福感差，这世界真叫人疲
29251809,37.60,69.00,http://img3m9.ddimg.cn/81/16/29251809-1_l_45.jpg,沟通的方法（畅销50万册 得到CEO脱不花为你准备的沟通心法，助你
29347383,30.70,46.00,http://img3m3.ddimg.cn/21/19/29347383-1_l_4.jpg,这世界很烦，但你要很可爱 专享版（只要你可爱，这个世界也会变得
26482259,43.20,45.00,http://img3m9.ddimg.cn/56/27/26482259-1_l_15.jpg,断舍离（2019新版，全新修订50%以上内容）宫崎骏、张德芬、李冰冰
29002852,54.80,55.00,http://img3m2.ddimg.cn/10/32/29002852-1_l_13.jpg,学习高手（90后哈佛耶鲁高分毕业生超实用学习法）
