detail_id,order_id,book_id,amount,price
3,1091780632524578,188,2,66.2
6,4671162850312925,171,1,37.5
7,10000135,316514373,1,114.0
8,10000135,345322932,1,144.0
9,10000136,670030430,1,127.0
10,10000140,14023313,1,140.0
11,10000140,553296981,1,76.0
12,10000140,807085588,1,161.0
13,10000179,451180801,1,140.0
14,10000179,64400026,1,179.0
15,10000256,1556705069,1,173.0
16,10000273,373292732,1,145.0
17,10000434,449003787,1,184.0
18,10000135,316514373,1,114.0
19,10000135,345322932,1,144.0
20,10000136,670030430,1,127.0
21,10000140,14023313,1,140.0
22,10000140,553296981,1,76.0
23,10000140,807085588,1,161.0
24,10000179,451180801,1,140.0
25,10000179,64400026,1,179.0
26,10000256,1556705069,1,173.0
27,10000273,373292732,1,145.0
28,10000434,449003787,1,184.0
29,10000510,2742729038,1,63.0
30,10000521,525935312,1,136.0
31,10000585,890432694,1,52.0
32,10000585,380726289,1,119.0
33,10000688,440238137,1,98.0
34,10000692,345300203,1,101.0
35,10000724,87584877,1,88.0
36,10000818,747266115,1,53.0
37,10000818,9722100718,1,108.0
38,10000833,151655898,1,56.0
39,10000833,345292928,1,168.0
40,10000833,373710127,1,69.0
41,10000858,38533558,1,53.0
42,10000916,523485204,1,122.0
43,10000916,373440901,1,100.0
44,10000916,440224403,1,117.0
45,10000922,451156609,1,113.0
46,10000935,345431057,1,180.0
47,10000935,441008615,1,113.0
48,10000935,451192990,1,123.0
49,10001136,590112899,1,107.0
50,10001136,486231135,1,197.0
51,10001276,886774500,1,74.0
52,10001276,553561537,1,198.0
53,10001276,60924675,1,130.0
54,10001280,670865796,1,86.0
55,10001327,760710848,1,67.0
56,10001327,671733893,1,124.0
57,10001327,449205975,1,184.0
58,10001351,523414668,1,157.0
59,10001427,34531221,1,146.0
60,10001427,345339681,1,119.0
61,10001522,61013420,1,174.0
62,10001522,373263880,1,50.0
63,10001643,373707649,1,67.0
64,10001643,345428153,1,168.0
65,10001643,446605239,1,166.0
66,10001747,452283914,1,121.0
67,10001751,375701230,1,146.0
68,10001751,316153915,1,122.0
69,10001759,2207305503,1,174.0
70,10001759,802134807,1,60.0
71,10001831,345335082,1,120.0
72,10001933,425071804,1,186.0
73,10001958,345378873,1,169.0
74,10001958,875421849,1,140.0
75,10000061,553151827,1,180.0
76,10000307,618526412,1,88.0
77,10000307,836231171,1,145.0
78,10000334,373264305,1,149.0
79,10000334,425162788,1,107.0
80,10000334,670867330,1,121.0
81,10000398,385504209,1,177.0
82,10000398,452267110,1,165.0
83,10000398,385316879,1,60.0
84,10000533,312970986,1,115.0
85,10000550,140100180,1,146.0
86,10000550,452270189,1,119.0
87,10000555,767905202,1,181.0
88,10000555,140067477,1,140.0
89,10000564,679762655,1,140.0
90,10000564,3257018126,1,53.0
91,10000564,671698648,1,117.0
92,10000577,201632934,1,187.0
93,10000598,385143567,1,60.0
94,10000598,920953255,1,131.0
95,10000600,821769227,1,147.0
96,10000600,312995423,1,140.0
97,10000616,899193099,1,63.0
98,10000616,671606875,1,102.0
99,10000636,812090187,1,115.0
100,10000671,451408888,1,156.0
101,10000671,373261918,1,104.0
102,10000671,671662341,1,67.0
103,10000850,805054944,1,104.0
104,10000850,786890371,1,104.0
105,10000866,440205492,1,139.0
106,10000866,671820443,1,60.0
107,10000866,385306210,1,142.0
108,10000917,380973545,1,67.0
109,10000917,711703078,1,187.0
110,10000959,440122090,1,51.0
111,10000990,553578693,1,112.0
112,10001552,131919660,1,77.0
113,10001552,441714013,1,126.0
114,10001625,440428130,1,115.0
115,10001686,449005836,1,74.0
116,10001704,671798782,1,126.0
117,10001704,156628635,1,59.0
118,10001715,446353426,1,80.0
119,10001882,786868716,1,150.0
120,10001927,688160948,1,173.0
121,10000065,373970323,1,191.0
122,10000065,60176806,1,187.0
