order_id,user_id,date,status,payment
10000002,162756,2017-04-24 00:00:00,0,117.0
10000003,132298,2017-06-27 00:00:00,1,113.0
10000004,88658,2017-05-10 00:00:00,1,252.0
10000005,248564,2017-04-30 00:00:00,1,140.0
10000006,122545,2017-05-06 00:00:00,0,253.0
10000007,221491,2017-05-01 00:00:00,2,359.0
10000008,254392,2017-05-17 00:00:00,2,112.0
10000009,36006,2017-06-23 00:00:00,2,335.0
10000010,144480,2017-04-21 00:00:00,1,100.0
10000011,234907,2017-06-23 00:00:00,2,83.0
10000012,178672,2017-04-15 00:00:00,0,385.0
10000013,27718,2017-05-15 00:00:00,2,233.0
10000014,7777,2017-06-19 00:00:00,2,371.0
10000015,96574,2017-06-16 00:00:00,1,113.0
10000016,26286,2017-05-15 00:00:00,1,273.0
10000017,165304,2017-06-29 00:00:00,2,119.0
10000018,120402,2017-04-17 00:00:00,2,108.0
10000019,62332,2017-06-09 00:00:00,0,121.0
10000020,179619,2017-05-22 00:00:00,1,116.0
10000021,195584,2017-04-16 00:00:00,0,434.0
10000022,184736,2017-05-26 00:00:00,2,138.0
10000023,109005,2017-04-09 00:00:00,2,82.0
10000024,159439,2017-06-18 00:00:00,2,213.0
10000025,74936,2017-05-28 00:00:00,0,215.0
10000026,227162,2017-04-13 00:00:00,2,334.0
10000027,253300,2017-06-18 00:00:00,0,80.0
10000028,234967,2017-05-03 00:00:00,1,113.0
10000029,222210,2017-04-09 00:00:00,0,111.0
10000030,68921,2017-05-12 00:00:00,1,218.0
10000031,246042,2017-06-21 00:00:00,2,159.0
10000032,234127,2017-06-04 00:00:00,2,151.0
10000033,217320,2017-06-04 00:00:00,0,272.0
10000034,2330,2017-05-20 00:00:00,2,187.0
10000035,70007,2017-06-24 00:00:00,2,343.0
10000036,271103,2017-06-21 00:00:00,2,184.0
10000037,221723,2017-04-02 00:00:00,1,104.0
10000038,131642,2017-05-18 00:00:00,0,277.0
10000039,83167,2017-04-09 00:00:00,2,60.0
10000040,48030,2017-05-30 00:00:00,0,438.0
10000041,202349,2017-06-04 00:00:00,0,189.0
10000042,39089,2017-05-19 00:00:00,2,60.0
10000043,118953,2017-05-28 00:00:00,0,150.0
10000044,159669,2017-06-13 00:00:00,0,277.0
10000045,66650,2017-06-19 00:00:00,2,107.0
10000046,168741,2017-05-19 00:00:00,0,85.0
10000047,158288,2017-05-02 00:00:00,0,279.0
10000048,196749,2017-05-18 00:00:00,1,112.0
10000049,179470,2017-06-25 00:00:00,0,138.0
10000050,36584,2017-06-27 00:00:00,2,88.0
10000051,84226,2017-06-14 00:00:00,2,127.0
10000052,194439,2017-05-02 00:00:00,2,216.0
10000053,255593,2017-04-24 00:00:00,2,168.0
10000054,43919,2017-04-24 00:00:00,2,294.0
10000055,127217,2017-06-15 00:00:00,2,437.0
10000056,118849,2017-06-19 00:00:00,1,280.0
10000057,133684,2017-04-20 00:00:00,1,189.0
10000058,177392,2017-05-18 00:00:00,2,200.0
